feature_type,model_name,train_accuracy,test_accuracy,precision,recall,f1_score,overfitting_gap,kernel,C,gamma,best_cv_score
HOG,SVM_rbf_C=0.1_gamma=scale,0.83875,0.705,0.7204301075268817,0.67,0.694300518134715,0.13375000000000004,rbf,0.1,scale,
HOG,SVM_rbf_C=10_gamma=0.001,1.0,0.705,0.735632183908046,0.64,0.6844919786096256,0.29500000000000004,rbf,10,0.001,
HOG,SVM_rbf_C=100_gamma=0.001,1.0,0.705,0.735632183908046,0.64,0.6844919786096256,0.29500000000000004,rbf,100,0.001,
HOG,SVM_rbf_C=10_gamma=scale,1.0,0.7,0.7083333333333334,0.68,0.6938775510204082,0.30000000000000004,rbf,10,scale,
HOG,SVM_rbf_C=100_gamma=scale,1.0,0.7,0.7083333333333334,0.68,0.6938775510204082,0.30000000000000004,rbf,100,scale,
HOG,SVM_GridSearchCV_best,1.0,0.7,0.7083333333333334,0.68,0.6938775510204082,0.30000000000000004,rbf,10,scale,0.7066120864074829
HOG,SVM_rbf_C=1_gamma=scale,0.98375,0.695,0.7142857142857143,0.65,0.680628272251309,0.28875000000000006,rbf,1,scale,
HOG,SVM_rbf_C=1_gamma=0.001,1.0,0.69,0.7209302325581395,0.62,0.6666666666666666,0.31000000000000005,rbf,1,0.001,
HOG,SVM_rbf_C=0.1_gamma=0.001,0.82875,0.63,0.8095238095238095,0.34,0.4788732394366197,0.19874999999999998,rbf,0.1,0.001,
Raw Pixels,SVM_rbf_C=1_gamma=scale,0.88625,0.62,0.6132075471698113,0.65,0.6310679611650486,0.26625,rbf,1,scale,
Raw Pixels,SVM_rbf_C=0.1_gamma=scale,0.62375,0.61,0.6057692307692307,0.63,0.6176470588235294,0.01375000000000004,rbf,0.1,scale,
Raw Pixels,SVM_rbf_C=1_gamma=0.001,1.0,0.61,0.6078431372549019,0.62,0.6138613861386139,0.39,rbf,1,0.001,
Raw Pixels,SVM_rbf_C=100_gamma=scale,1.0,0.595,0.5904761904761905,0.62,0.6048780487804878,0.405,rbf,100,scale,
Raw Pixels,SVM_rbf_C=10_gamma=scale,1.0,0.59,0.5849056603773585,0.62,0.6019417475728155,0.41000000000000003,rbf,10,scale,
HOG,SVM_rbf_C=0.1_gamma=0.1,1.0,0.57,0.5406976744186046,0.93,0.6838235294117647,0.43000000000000005,rbf,0.1,0.1,
HOG,SVM_rbf_C=1_gamma=0.1,1.0,0.57,0.5406976744186046,0.93,0.6838235294117647,0.43000000000000005,rbf,1,0.1,
HOG,SVM_rbf_C=10_gamma=0.1,1.0,0.57,0.5406976744186046,0.93,0.6838235294117647,0.43000000000000005,rbf,10,0.1,
HOG,SVM_rbf_C=100_gamma=0.1,1.0,0.57,0.5406976744186046,0.93,0.6838235294117647,0.43000000000000005,rbf,100,0.1,
HOG,Logistic_Regression_HOG,1.0,0.57,0.5673076923076923,0.59,0.5784313725490197,0.43000000000000005,-,-,-,
Raw Pixels,SVM_rbf_C=10_gamma=0.001,1.0,0.565,0.5565217391304348,0.64,0.5953488372093023,0.43500000000000005,rbf,10,0.001,
Raw Pixels,SVM_rbf_C=100_gamma=0.001,1.0,0.565,0.5565217391304348,0.64,0.5953488372093023,0.43500000000000005,rbf,100,0.001,
HOG,KNN_HOG_k=5,0.61625,0.56,0.532967032967033,0.97,0.6879432624113475,0.05624999999999991,-,-,-,
HOG,SVM_linear_C=0.1,1.0,0.56,0.5588235294117647,0.57,0.5643564356435643,0.43999999999999995,linear,0.1,-,
HOG,SVM_linear_C=1,1.0,0.56,0.5588235294117647,0.57,0.5643564356435643,0.43999999999999995,linear,1,-,
HOG,SVM_linear_C=10,1.0,0.56,0.5588235294117647,0.57,0.5643564356435643,0.43999999999999995,linear,10,-,
HOG,SVM_linear_C=100,1.0,0.56,0.5588235294117647,0.57,0.5643564356435643,0.43999999999999995,linear,100,-,
HOG,SVM_rbf_C=10_gamma=0.01,1.0,0.555,0.8235294117647058,0.14,0.23931623931623933,0.44499999999999995,rbf,10,0.01,
HOG,SVM_rbf_C=100_gamma=0.01,1.0,0.555,0.8235294117647058,0.14,0.23931623931623933,0.44499999999999995,rbf,100,0.01,
HOG,SVM_rbf_C=1_gamma=0.01,1.0,0.55,0.8571428571428571,0.12,0.21052631578947367,0.44999999999999996,rbf,1,0.01,
Raw Pixels,SVM_rbf_C=0.1_gamma=0.1,1.0,0.535,0.5466666666666666,0.41,0.4685714285714286,0.46499999999999997,rbf,0.1,0.1,
Raw Pixels,SVM_rbf_C=0.1_gamma=0.001,0.9875,0.52,0.625,0.1,0.1724137931034483,0.4675,rbf,0.1,0.001,
Raw Pixels,SVM_rbf_C=0.1_gamma=0.01,1.0,0.5,0.5,1.0,0.6666666666666666,0.5,rbf,0.1,0.01,
Raw Pixels,SVM_rbf_C=1_gamma=0.1,1.0,0.5,0.5,1.0,0.6666666666666666,0.5,rbf,1,0.1,
Raw Pixels,SVM_rbf_C=10_gamma=0.1,1.0,0.5,0.5,1.0,0.6666666666666666,0.5,rbf,10,0.1,
Raw Pixels,SVM_rbf_C=100_gamma=0.1,1.0,0.5,0.5,1.0,0.6666666666666666,0.5,rbf,100,0.1,
HOG,SVM_rbf_C=0.1_gamma=0.01,1.0,0.5,0.0,0.0,0.0,0.5,rbf,0.1,0.01,
Raw Pixels,SVM_rbf_C=1_gamma=0.01,1.0,0.495,0.49748743718592964,0.99,0.6622073578595318,0.505,rbf,1,0.01,
